date,trip_count,total_revenue,avg_surcharge
2025-08-08,112742,2971363.579999952,1.6073712547231733
2025-08-09,114243,2882069.289999926,1.4618138529275317
2025-08-10,102084,2815330.3999999324,1.4201637866854746
2025-08-11,97967,2669346.749999969,1.6654179468596568
2025-08-12,112567,2930230.259999982,1.7642648378299146
2025-08-13,129995,3382131.119999946,1.7208777260663872
2025-08-14,120731,3268423.7299999814,1.702609520338604
2025-08-15,115214,3045251.1199999615,1.5783498533164373
2025-08-16,120595,3046592.339999917,1.4737509847008583
2025-08-17,114544,3042496.9599999236,1.3977445348512363
2025-08-18,93630,2406769.509999925,1.6606456264017944
2025-08-19,105558,2595097.509999986,1.7242416491407568
2025-08-20,128953,3064240.449999979,1.6923375183206284
2025-08-21,112993,2833348.1499999156,1.702877611887462
2025-08-22,111326,2689138.679999935,1.606280204085299
2025-08-23,126037,2632485.669999937,1.4763105278608664
2025-08-24,111547,2890512.749999949,1.4257711995840319
2025-08-25,97463,2751779.819999948,1.6137611196043626
2025-08-26,105998,2922951.3799999533,1.7144568765448405
2025-08-27,111490,3100118.729999932,1.6941026100995604
2025-08-28,113941,3203814.039999969,1.6512888249181594
2025-08-29,110804,3099255.4099999527,1.5740519295332298
2025-08-30,116393,3014466.3499999465,1.4860988203757959
2025-08-31,110746,2964030.919999934,1.3629250717858885
2025-09-01,97479,2815410.6799998865,1.4296181741708471
2025-09-02,116634,3628176.1499999324,1.6972045029751188
2025-09-03,129619,3526797.319999941,1.7603187032765257
2025-09-04,147596,3990615.4199999226,1.7030881595707201
2025-09-05,143188,3860083.729999966,1.642691775847138
2025-09-06,146958,3769333.1899999594,1.5189458893017052
2025-09-07,127688,3453810.059999908,1.4396928450598334
2025-09-08,122079,3400517.8799999673,1.6917467377681665
2025-09-09,137901,3735071.1600000127,1.7256655136656007
2025-09-10,148988,4179491.2099999283,1.7016420785566624
2025-09-11,151377,4190849.15999995,1.6941576329297052
2025-09-12,155924,4272124.189999896,1.569902644878274
2025-09-13,165207,4163860.8799999766,1.4835237005695885
2025-09-14,144263,3829824.609999884,1.4128969312990858
2025-09-15,126829,3533931.1599999103,1.685679142782802
2025-09-16,140924,3819668.049999982,1.7554444239448213
2025-09-17,147250,4059671.279999952,1.7658505942275042
2025-09-18,157355,4439493.229999901,1.7086381112770488
2025-09-19,150521,4125713.859999905,1.6358282233043895
2025-09-20,156765,4100935.379999949,1.5455379070583357
